position;code;name_en;purpose_de;name_en;purpose_en
123;S123;Mobiles Auftragserfassungs-System;Bereitstellung und Betrieb von Hardware und Software für die mobile Auftragsdatenerfassung;Mobile order entry system;Provisioning and operation of a mobile order entry system
124;S124;Arbeitszeiterfassungssystem, z.B. zur innerbetrieblichen Leistungserfassung;Bereitstellung und Betrieb eines Arbeitszeiterfassungssystems, z.B. zur innerbetrieblichen Leistungserfassung (IBLV);Work time and internal activity recording system;Provisioning and operation of a work time and internal activity recording system
125;S125;Passwortverwaltung;Bereitstellung und Betrieb einer Passwortverwaltungsdatenbank;Password management;Provisioning and operation of a password management system
126;S126;Public-Key-Infrastruktur (PKI);Bereitstellung und Betrieb eines rechnergestützten Systems für die Ausstellung, Verteilung und Prüfung von digitalen Zertifikaten;Public key infrastructure (PKI);Provisioning and operation of a public key infrastructure
127;S127;Labor-Software;Bereitstellung und Betrieb von Software zum Abruf von Laborergebnissen;Laboratory software;Provisioning and operation of laboratory software
128;S128;Ultraschallgerät;Bereitstellung und Betrieb eines Geräts zur medizinischen Diagnose mit Netzwerkanschluss;Ultrasound scanner;Provisioning and operation of an ultrasound scanner
129;S129;Medizinisches Kartenlesegerät;Bereitstellung und Betrieb eines Geräts für das Einlesen von Patientendaten in die Arztpraxissoftware;Medical card reader;Provisioning and operation of medical card reader
130;S130;Langzeit-Blutdruck-Messgerät;Bereitstellung und Betrieb eines Geräts für die Aufzeichnung von Blutdruckdaten incl. Datenübertragung in eine Arztpraxissoftware;Long-term blood pressure measuring device;Provisioning and operation of a long-term blood pressure measuring device
131;S131;EKG-Systeme;Bereitstellung und Betrieb von Ruhe- und Belastungs-EKGs für die Kurzzeit- und Langzeitmessung;ECG recorder;Provisioning and operation of an ECG recorder
132;S132;Blutgasanalysegerät;Bereitstellung und Betrieb eines Geräts für die Blutgasanalyse;Blood gas analysis device;Provisioning and operation of a blood gas analysis device
133;S133;Blutzucker-Messgerät;Bereitstellung und Betrieb eines Geräts für die Messung des Blutzuckerspiegels;Blood glucose meter;Provisioning and operation of a blood glucose meter
134;S134;Pulswellenanalyse;Bereitstellung und Betrieb eines Geräts für die Pulswellenanalyse;Pulse wave analysis;Provisioning and operation of a pulse wave analysis
135;S135;HR-Software und online Personalsuche für Personaldienstleister (inkl. Abrechnungsmodul);Bereitstellung und Betrieb einer Softwarelösung für Bewerbermanagement, Personalmanagement, Personalberatung;HR software and e-recruiting for recruitment agencies (incl. accounting module);Provisioning and operation of HR software and e-recruiting for recruitment agencies (incl. accounting module)
136;S136;HR-Software und online Personalsuche für Personaldienstleister (ohne Abrechnungsmodul);Nutzung einer Online Datenbank für E-Recruiting und online Personalsuche;HR software and e-recruiting for recruitment agencies (without accounting module);Provisioning and operation of HR software and e-recruiting for recruitment agencies (without accounting module)
137;S137;Diktiergerät;Bereitstellung und Betrieb von Diktiergeräten mit Softwareschnittstelle;Dictaphone;Provisioning and operation of a dictaphone
138;S138;Spracherkennungs-System;Bereitstellung und Betrieb eines Spracherkennungssystems;Speech recognition system;Provisioning and operation of a speech recognition system
139;S139;Blutflussanalyse-System;Bereitstellung und Betrieb eines Blutflussanalyse-Systems;Blood flow analysis system;Provisioning and operation of a blood flow analysis system
140;S140;Datenbank Server (mehrere Datenbank-Anwendungen);Bereitstellung und Betrieb von Datenbank Servern (z.B. SQL Server) für mehrere Datenbankanwendungen;Database server (several database applications);Provisioning and operation of database servers (e.g. SQL server) for several database applications
141;S141;Arztinformationssystem (AIS);Bereitstellung und Betrieb eines Arztinformationssystems;Medical information system;Provisioning and operation of a medical information system (MIS)
142;S142;Label Printer;Bereitstellung und Betrieb eines Label Printers;Label printer;Provisioning and operation of a label printer
143;S143;Barcode Scanner;Bereitstellung und Betrieb eines Barcode Scanners;Barcode scanner;Provisioning and operation of a barcode scanner
144;S144;Reverse Proxy (Web-Application-Firewall);Bereitstellung und Betrieb eines Reverse Proxy (Web-Application-Firewall);Reverse proxy (web application firewall);Provisioning and operation of a reverse proxy (web application firewall)
145;S145;Medizinisches Beratungs- und Dokumentationssystem;Bereitstellung und Betrieb eines medizinischen Beratungs- und Dokumentationssystems;Medical consultation and documentation system;Provisioning and operation of a medical consultation and documentation system
146;S146;Kanzlei-Software (z.B. für Rechtsanwälte);Bereitstellung und Betrieb einer Kanzlei-Software, z.B. für Rechtsanwälte;Law firm software;Provisioning and operation of a law firm software
147;S147;Betriebswirtschaftliche Controlling-Software;Bereitstellung und Betrieb einer betriebswirtschaftlichen Controlling-Software;Business administration controlling software;Provisioning and operation of a business administration controlling software
